wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Margaux,Château Labégorce,2007.0,4.0,471,21.9,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bordeaux,Château Champs de Lucas,2001.0,3.4,936,39.0,4.0,4.0,1.0,4.0,bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bourgogne Pinot Noir,Domaine Fourrey,2022.0,3.9,135,14.5,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Auxey-Duresses,Vincent Prunier,2020.0,4.1,56,33.37,4.0,2.5,1.0,2.0,auxey-duresses,"[(14, 'pinot-noir')]"
Les Tannes Cabernet - Merlot,Mas des Tannes,2022.0,3.3,421,12.67,4.0,4.0,1.0,4.0,vin-de-pays-doc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Gevrey-Chambertin 1er Cru 'Les Corbeaux',Philippe Rossignol,2005.0,4.1,57,102.43,4.5,3.0,1.0,2.5,gevrey-chambertin-premier-cru,"[(14, 'pinot-noir')]"
Vieilles Vignes Beaune,Domaine des Clos,2022.0,4.1,166,42.8,4.0,2.5,1.0,2.0,beaune,"[(14, 'pinot-noir')]"
Nuits-Saint-Georges 1er Cru 'Aux Boudots',Georges Noëllat,2018.0,4.4,121,225.08,4.5,3.0,1.0,2.5,nuits-saint-georges-aux-boudots,"[(14, 'pinot-noir')]"
Volnay,Bitouzet-Prieur,2015.0,3.8,110,62.95,4.0,2.5,1.0,2.0,volnay,"[(14, 'pinot-noir')]"
Vieilles Vignes Volnay,Domaine Jean-Marc Bouley,2014.0,3.9,25,65.0,4.0,2.5,1.0,2.0,volnay,"[(14, 'pinot-noir')]"
Côte-Rôtie L'Eglantine,Ferraton Père & Fils,2020.0,4.2,51,42.0,4.0,4.5,1.0,4.5,cote-rotie,"[(1, 'shiraz-syrah'), (20, 'viognier')]"
Pomerol,Château La Croix du Casse,1995.0,4.2,54,69.82,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bordeaux Supérieur,Château La Blanquerie,2016.0,3.6,179,24.98,4.0,4.0,1.0,4.0,bordeaux-superieur,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
